Date,Close/Last,Volume,Open,High,Low
02/14/2022,$79.67,2204975,$80.46,$81.33,$79.13
02/11/2022,$80.11,2597017,$80.68,$81.38,$79.25
02/10/2022,$80.68,2113127,$80.96,$82.215,$80.12
02/09/2022,$81.80,2129502,$81.06,$81.90,$80.46
02/08/2022,$79.99,1844252,$80.99,$81.29,$79.62
02/07/2022,$80.73,1770437,$80.50,$81.17,$80.30
02/04/2022,$80.43,2114965,$81.72,$82.19,$78.92
02/03/2022,$82.76,1624238,$84.47,$84.55,$82.67
02/02/2022,$84.85,1945791,$85.14,$86.20,$84.69
02/01/2022,$84.66,2081969,$86.00,$86.36,$84.0811
01/31/2022,$86.63,4174040,$83.39,$86.63,$83.39
01/28/2022,$84.06,3123312,$83.42,$84.11,$80.655
01/27/2022,$83.42,2660293,$84.51,$86.23,$83.11
01/26/2022,$83.85,2667187,$86.01,$87.85,$83.15
01/25/2022,$85.53,3023671,$84.98,$85.96,$83.36
01/24/2022,$86.02,3766771,$86.68,$86.85,$83.27
01/21/2022,$87.51,3205509,$86.65,$88.32,$86.28
01/20/2022,$85.98,2109461,$86.18,$88.04,$85.80
01/19/2022,$85.53,2459265,$87.76,$87.86,$85.46
01/18/2022,$87.18,2078775,$87.35,$87.58,$86.01
01/14/2022,$87.51,1807093,$87.59,$88.18,$86.36
01/13/2022,$87.71,2236647,$86.53,$88.28,$85.88
01/12/2022,$86.31,1888080,$86.04,$87.18,$85.94
01/11/2022,$86.33,1843300,$87.50,$87.58,$84.76
01/10/2022,$87.54,2519738,$87.42,$87.61,$86.67
01/07/2022,$87.83,2817425,$87.61,$89.425,$86.79
01/06/2022,$87.63,1297320,$87.68,$88.25,$86.94
01/05/2022,$86.98,1770119,$88.67,$89.57,$86.82
01/04/2022,$88.14,2885340,$85.785,$88.68,$85.72
01/03/2022,$85.56,2170163,$86.16,$87.115,$84.41
12/31/2021,$85.77,1301084,$85.72,$86.69,$85.575
12/30/2021,$85.90,1380027,$84.93,$86.35,$84.93
12/29/2021,$85.11,1219602,$84.70,$85.33,$83.34
12/28/2021,$84.73,1224790,$83.77,$84.85,$83.61
12/27/2021,$84.04,1381236,$82.65,$84.08,$81.74
12/23/2021,$82.79,1228396,$83.25,$83.58,$81.93
12/22/2021,$82.96,1952467,$82.95,$83.369,$82.09
12/21/2021,$82.64,1474144,$81.20,$83.37,$80.84
12/20/2021,$80.33,2785998,$80.27,$81.64,$80.03
12/17/2021,$83.20,7166623,$83.10,$84.449,$81.94
12/16/2021,$83.10,2426712,$83.00,$84.47,$82.18
12/15/2021,$82.95,2486078,$82.40,$83.47,$81.86
12/14/2021,$82.19,2310955,$83.44,$83.99,$81.24
12/13/2021,$83.44,2079488,$82.19,$84.05,$81.735
12/10/2021,$82.71,2019767,$84.71,$84.93,$82.27
12/09/2021,$84.15,1772779,$85.11,$85.46,$84.14
12/08/2021,$85.70,2421114,$85.06,$86.16,$84.50
12/07/2021,$84.78,2301665,$83.99,$85.3499,$83.53
12/06/2021,$83.04,1823149,$81.27,$83.94,$81.27
12/03/2021,$80.40,2879967,$82.23,$82.56,$79.95
12/02/2021,$82.08,2401024,$80.06,$82.77,$79.79
12/01/2021,$79.36,2148360,$80.63,$82.15,$79.26
11/30/2021,$79.62,4177812,$81.47,$81.84,$79.21
11/29/2021,$82.04,2684584,$82.34,$83.68,$81.98
11/26/2021,$81.92,1879367,$84.93,$85.25,$81.78
11/24/2021,$87.07,1512852,$85.87,$87.265,$85.87
11/23/2021,$85.78,1567119,$84.72,$86.48,$84.38
11/22/2021,$84.01,1618114,$83.64,$85.00,$83.25
11/19/2021,$84.19,2115105,$86.09,$86.79,$83.845
11/18/2021,$86.15,1483166,$86.24,$86.65,$85.21
11/17/2021,$86.22,2343850,$83.64,$86.51,$82.93
11/16/2021,$84.00,1994665,$84.29,$84.50,$82.9236
11/15/2021,$84.23,1436262,$85.52,$85.52,$83.29
11/12/2021,$85.55,1212099,$85.15,$85.91,$84.72
11/11/2021,$85.23,1867999,$86.78,$87.08,$85.04
11/10/2021,$87.01,3049472,$85.54,$87.64,$85.54
11/09/2021,$85.39,2060034,$85.08,$86.235,$84.16
11/08/2021,$84.76,2375140,$84.46,$85.87,$83.98
